"Reggeli","Csirkemell sonka 
Kenyér (1,3,6,7,8,11)
Minimargarin 
Teljeskiörlésű kenyér (1,3,6,7,8,11)","Kenyér (1,3,6,7,8,11)
Minimargarin 
Tavaszi felvágott 
Teljeskiörlésű kenyér (1,3,6,7,8,11)","Tej 
Kenyér (1,3,6,7,8,11)
Mini lekvár db 
Minimargarin 
Teljeskiörlésű kenyér (1,3,6,7,8,11)","Kenyér (1,3,6,7,8,11)
Minimargarin 
Teljeskiörlésű kenyér 
Zalai felvágott (6)","Tejeskávé (7)
Főtt virsli (1)
Kenyér (1,3,6,7,8,11)
Mustár db (10)
Teljeskiörlésű kenyér (1,3,6,7,8,11)","Kenyér (1,3,6,7,8,11)
Mini margarin 
Natúr joghurt (7)
Teljeskiörlésű kenyér (1,3,6,7,8,11)","Tej 
Kenyér (1,3,6,7,8,11)
Kockasajt 
Minimargarin 
Teljeskiörlésű kenyér "
"Reggeli","energia: 711 kcal
szénhidrát: 124.6g
fehérje: 21.6g
zsír: 11.2g
curkor: 1.3g
só: 5.3g
telített zsírok: 3.9g","energia: 820 kcal
szénhidrát: 140.9g
fehérje: 21.9g
zsír: 15.9g
curkor: 1.6g
só: 5.8g
telített zsírok: 5.2g","energia: 811 kcal
szénhidrát: 145.7g
fehérje: 22.4g
zsír: 12.6g
curkor: 1.6g
só: 4.6g
telített zsírok: 5.0g","energia: 828 kcal
szénhidrát: 140.3g
fehérje: 22.9g
zsír: 16.6g
curkor: 1.8g
só: 5.9g
telített zsírok: 6.3g","energia: 841 kcal
szénhidrát: 144.8g
fehérje: 25.7g
zsír: 15.6g
curkor: 31.8g
só: 5.7g
telített zsírok: 4.6g","energia: 888 kcal
szénhidrát: 157.2g
fehérje: 24.6g
zsír: 14.5g
curkor: 2.0g
só: 5.5g
telített zsírok: 6.5g","energia: 901 kcal
szénhidrát: 150.5g
fehérje: 26.9g
zsír: 18.5g
curkor: 1.6g
só: 5.3g
telített zsírok: 8.8g"
"Ebéd","Paradicsom leves (1,3)
Óvári sertésszelet 
Ecetes uborka (10,12)
Burgonyapüré (1,3,6,7,9,10,12)","Szilvás gombóc (1,3,6,7,8,11)
Lencseleves (1,3)","Póréhagyma krémleves (1,3,6,7,9,10,12)
Pirított kenyérkocka (1,3,6,7,8,11)
Sült csirkecomb 
Ecetes uborka (10,12) 
Steak burgonya (1,3,6,7,9,10)","Rakott káposzta (7,10,12)
Húsleves (1,3,4,7,9)","Zöldbableves (1,3,4,6,7,9)
Gombapörkölt 
Tészta (1,3)","Almaleves (1,3,6,7,9,10)
Fejtett babfőzelék (1)
Párolt sertésszelet ","Rizsleves (1,3,4,6,7,9)
Sült csirke 
Ecetes uborka (10,12)
Burgonyapüré (1,3,6,7,9,10,12)"
"Ebéd","energia: 817 kcal
szénhidrát: 77.6g
fehérje: 34.0g
zsír: 39.4g
curkor: 22.9g
só: 5.6g
telített zsírok: 7.9g","energia: 859 kcal
szénhidrát: 145.7g
fehérje: 23.8g
zsír: 17.1g
curkor: 19.3g
só: 1.3g
telített zsírok: 1.7g","energia: 752 kcal
szénhidrát: 85.4g
fehérje: 34.9g
zsír: 27.6g
curkor: 1.0g
só: 5.7g
telített zsírok: 3.9g","energia: 679 kcal
szénhidrát: 69.5g
fehérje: 25.4g
zsír: 31.7g
curkor: 0.3g
só: 3.5g
telített zsírok: 6.7g","energia: 587 kcal
szénhidrát: 78.5g
fehérje: 17.7g
zsír: 20.5g
curkor: 0.1g
só: 4.8g
telített zsírok: 2.3g","energia: 703 kcal
szénhidrát: 74.1g
fehérje: 31.8g
zsír: 29.7g
curkor: 15.0g
só: 2.9g
telített zsírok: 4.7g","energia: 531 kcal
szénhidrát: 52.9g
fehérje: 27.7g
zsír: 21.6g
curkor: 2.8g
só: 4.1g
telített zsírok: 2.5g"
"Uzsonna","Müzliszelet ","Minimargarin ","Kockasajt ","","Gyümölcslé rostos ","Sajtkrém ","Gyümölcsjoghurt "
"Uzsonna","energia: 87 kcal
szénhidrát: 14.2g
fehérje: 1.0g
zsír: 2.8g
curkor: 7.2g
só: 0.0g
telített zsírok: 1.6g","energia: 71 kcal
szénhidrát: 0.0g
fehérje: 0.0g
zsír: 8.0g
curkor: 0.0g
só: 0.0g
telített zsírok: 3.0g","energia: 67 kcal
szénhidrát: 1.3g
fehérje: 2.8g
zsír: 5.8g
curkor: 0.0g
só: 0.2g
telített zsírok: 3.8g",,"energia: 104 kcal
szénhidrát: 25.0g
fehérje: 0.0g
zsír: 0.0g
curkor: 0.0g
só: 0.0g
telített zsírok: 0.0g","energia: 182 kcal
szénhidrát: 5.7g
fehérje: 8.3g
zsír: 14.0g
curkor: 0.0g
só: 0.5g
telített zsírok: 9.0g","energia: 101 kcal
szénhidrát: 21.3g
fehérje: 3.8g
zsír: 0.1g
curkor: 14.0g
só: 0.2g
telített zsírok: 0.0g"
"Vacsora","Minimargarin 
Trappista sajt ","Kefír (7)
Kockasajt ","Húskrém 
Hamé ","Sajtkrém ","Minimargarin 
Trappista sajt ","Minimargarin 
Párizsi ","Májkrém "
"Vacsora","energia: 224 kcal
szénhidrát: 0.6g
fehérje: 11.1g
zsír: 19.2g
curkor: 0.0g
só: 0.7g
telített zsírok: 10.2g","energia: 151 kcal
szénhidrát: 7.9g
fehérje: 7.3g
zsír: 10.3g
curkor: 0.0g
só: 0.8g
telített zsírok: 6.8g","energia: 116 kcal
szénhidrát: 1.4g
fehérje: 4.3g
zsír: 10.3g
curkor: 0.0g
só: 0.6g
telített zsírok: 3.5g","energia: 182 kcal
szénhidrát: 5.7g
fehérje: 8.3g
zsír: 14.0g
curkor: 0.0g
só: 0.5g
telített zsírok: 9.0g","energia: 224 kcal
szénhidrát: 0.6g
fehérje: 11.1g
zsír: 19.2g
curkor: 0.0g
só: 0.7g
telített zsírok: 10.2g","energia: 166 kcal
szénhidrát: 0.7g
fehérje: 4.4g
zsír: 16.4g
curkor: 0.0g
só: 0.9g
telített zsírok: 6.3g","energia: 147 kcal
szénhidrát: 7.5g
fehérje: 8.1g
zsír: 9.2g
curkor: 0.0g
só: 1.0g
telített zsírok: 4.6g"
